#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Goemon's Great Adventure (USA);Goemon's Great Adventure (USA);Nintendo 64;;1999;Konami;Platform;2;;;;;;;;
Golden Nugget 64 (USA);Golden Nugget 64 (USA);Nintendo 64;;1998;Electronic Arts;Casino;4;;;;;;;;
Harvest Moon 64 (USA);Harvest Moon 64 (USA);Nintendo 64;;1999;Natsume;Strategy;1;;;;;;;;
Hercules - The Legendary Journeys (USA);Hercules - The Legendary Journeys (USA);Nintendo 64;;2000;Titus Software;Adventure;1;;;;;;;;
Hexen (USA);Hexen (USA);Nintendo 64;;1997;GT Interactive;Shooter;4;;;;;;;;
"Hey You, Pikachu! (USA)";"Hey You, Pikachu! (USA)";Nintendo 64;;2000;Nintendo;Adventure;1;;;;;;;;
Hot Wheels - Turbo Racing (USA);Hot Wheels - Turbo Racing (USA);Nintendo 64;;1999;Electronic Arts;Driving;2;;;;;;;;
Hybrid Heaven (USA);Hybrid Heaven (USA);Nintendo 64;;1999;Konami;Role-Playing;2;;;;;;;;
Hydro Thunder (USA);Hydro Thunder (USA);Nintendo 64;;2000;Midway;Water;4;;;;;;;;
Iggy's Reckin' Balls (USA);Iggy's Reckin' Balls (USA);Nintendo 64;;1998;Acclaim;Driving;4;;;;;;;;
In-Fisherman - Bass Hunter 64 (USA);In-Fisherman - Bass Hunter 64 (USA);Nintendo 64;;1999;Take-Two Interactive;Fishing/Sports;1;;;;;;;;
Indiana Jones and the Infernal Machine (USA);Indiana Jones and the Infernal Machine (USA);Nintendo 64;;2000;LucasArts;Adventure;1;;;;;;;;
Indy Racing 2000 (USA);Indy Racing 2000 (USA);Nintendo 64;;2000;Infogrames;Driving;2;;;;;;;;
International Superstar Soccer '98 (USA);International Superstar Soccer '98 (USA);Nintendo 64;;1998;Konami;Soccer/Sports;4;;;;;;;;
"International Superstar Soccer 2000 (USA) (En,Es)";"International Superstar Soccer 2000 (USA) (En,Es)";Nintendo 64;;2000;Konami;Soccer/Sports;4;;;;;;;;
International Superstar Soccer 64 (USA);International Superstar Soccer 64 (USA);Nintendo 64;;1997;Konami;Soccer/Sports;4;;;;;;;;
International Track & Field 2000 (USA);International Track & Field 2000 (USA);Nintendo 64;;2000;Konami;Olympic/Sports;4;;;;;;;;
Jeopardy! (USA);Jeopardy! (USA);Nintendo 64;;1998;GameTek;Game Show;3;;;;;;;;
Jeremy McGrath Supercross 2000 (USA);Jeremy McGrath Supercross 2000 (USA);Nintendo 64;;2000;Acclaim;Motorcycle;2;;;;;;;;
Jet Force Gemini (USA);Jet Force Gemini (USA);Nintendo 64;;1999;Rare Ltd.;Shooter;4;;;;;;;;
John Romero's Daikatana (USA);John Romero's Daikatana (USA);Nintendo 64;;2000;Kemco;Shooter;4;;;;;;;;
Ken Griffey Jr.'s Slugfest (USA);Ken Griffey Jr.'s Slugfest (USA);Nintendo 64;;1999;Nintendo;Baseball/Sports;4;;;;;;;;
Killer Instinct Gold (USA) (Rev B);Killer Instinct Gold (USA) (Rev B);Nintendo 64;;1996;Nintendo;Fighter;2;;;;;;;;
Kirby 64 - The Crystal Shards (USA);Kirby 64 - The Crystal Shards (USA);Nintendo 64;;2000;Nintendo;Platform;4;;;;;;;;
Knife Edge - Nose Gunner (USA);Knife Edge - Nose Gunner (USA);Nintendo 64;;1998;Kemco;Shooter;4;;;;;;;;
Knockout Kings 2000 (USA);Knockout Kings 2000 (USA);Nintendo 64;;1999;EA Sports;Boxing/Sports;2;;;;;;;;
Kobe Bryant's NBA Courtside (USA);Kobe Bryant's NBA Courtside (USA);Nintendo 64;;1999;Nintendo;Basketball/Sports;4;;;;;;;;
"LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)";"LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)";Nintendo 64;;1999;Lego Media;Driving;2;;;;;;;;
"Legend of Zelda, The - Majora's Mask (USA)";"Legend of Zelda, The - Majora's Mask (USA)";Nintendo 64;;2000;Nintendo;Adventure;1;;;;;;;;
"Legend of Zelda, The - Ocarina of Time (USA) (Rev B)";"Legend of Zelda, The - Ocarina of Time (USA) (Rev B)";Nintendo 64;;1998;Nintendo;Adventure;1;;;;;;;;
