#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Baby T-Rex (Europe);Baby T-Rex (Europe);Nintendo Game Boy;;1993;Beam Software;Platform;2;;;;;;;;
"Balloon Kid (USA, Europe)";"Balloon Kid (USA, Europe)";Nintendo Game Boy;;1990;Nintendo;Action;2;;;;;;;;
Bamse (Sweden);Bamse (Sweden);Nintendo Game Boy;;1993;Beam Software;Platform;;;;;;;;;
Banishing Racer (Japan);Banishing Racer (Japan);Nintendo Game Boy;;1991;Jaleco Entertainment;Driving;;;;;;;;;
"Barbie - Game Girl (USA, Europe)";"Barbie - Game Girl (USA, Europe)";Nintendo Game Boy;;1992;Hi Tech Expressions;Platform;1;;;;;;;;
"Bart Simpson's Escape from Camp Deadly (USA, Europe)";"Bart Simpson's Escape from Camp Deadly (USA, Europe)";Nintendo Game Boy;;1991;Acclaim;Platform;1;;;;;;;;
Baseball (World);Baseball (World);Nintendo Game Boy;;1989;Nintendo;Sports/Baseball;2;;;;;;;;
Bases Loaded (USA);Bases Loaded (USA);Nintendo Game Boy;;1990;Jaleco Entertainment;Sports/Baseball;2;;;;;;;;
"Batman - Return of the Joker (USA, Europe)";"Batman - Return of the Joker (USA, Europe)";Nintendo Game Boy;;1992;SunSoft;Platform;;;;;;;;;
"Batman - The Animated Series (USA, Europe)";"Batman - The Animated Series (USA, Europe)";Nintendo Game Boy;;1993;Konami;Platform;1;;;;;;;;
Batman - The Video Game (World);Batman - The Video Game (World);Nintendo Game Boy;;1990;SunSoft;Platform;1;;;;;;;;
"Batman Forever (USA, Europe)";"Batman Forever (USA, Europe)";Nintendo Game Boy;;1995;Acclaim;Beat-'Em-Up;1;;;;;;;;
Battle Arena Toshinden (USA);Battle Arena Toshinden (USA);Nintendo Game Boy;;1996;Takara;Fighter;2;;;;;;;;
Battle Bull (USA);Battle Bull (USA);Nintendo Game Boy;;1991;Seta Corporation;Action;;;;;;;;;
Battle City (Japan);Battle City (Japan);Nintendo Game Boy;;1991;Nova Games;Action;2;;;;;;;;
Battle Crusher (Japan);Battle Crusher (Japan);Nintendo Game Boy;;1995;Sun L;Fighter;;;;;;;;;
