#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
"Barbie - Fashion Pack Games (USA, Europe)";"Barbie - Fashion Pack Games (USA, Europe)";Nintendo Game Boy Color;;2000;Mattel;Action;;;;;;;;;
Barbie - Magic Genie Adventure (USA);Barbie - Magic Genie Adventure (USA);Nintendo Game Boy Color;;2000;Mattel;Action;;;;;;;;;
Barbie - Ocean Discovery (USA);Barbie - Ocean Discovery (USA);Nintendo Game Boy Color;;1999;Mattel;Action;1;;;;;;;;
Barbie - Pet Rescue (USA);Barbie - Pet Rescue (USA);Nintendo Game Boy Color;;2001;Mattel;Action;1;;;;;;;;
"Bass Masters Classic (USA, Europe)";"Bass Masters Classic (USA, Europe)";Nintendo Game Boy Color;;1999;THQ;Sports/Fishing;;;;;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond - Return of the Joker (USA);Nintendo Game Boy Color;;2000;Ubisoft;Adventure;1;;;;;;;;
BattleTanx (USA);BattleTanx (USA);Nintendo Game Boy Color;;2000;3DO;Action;1;;;;;;;;
"Battleship (USA, Europe)";"Battleship (USA, Europe)";Nintendo Game Boy Color;;1999;Majesco Games;Board Games;;;;;;;;;
Bear in the Big Blue House (USA);Bear in the Big Blue House (USA);Nintendo Game Boy Color;;2002;Ubisoft;Action;;;;;;;;;
Beauty and the Beast - A Board Game Adventure (USA);Beauty and the Beast - A Board Game Adventure (USA);Nintendo Game Boy Color;;1999;Nintendo;Board Games;4;;;;;;;;
"Billy Bob's Huntin' 'n' Fishin' (USA, Europe)";"Billy Bob's Huntin' 'n' Fishin\' (USA, Europe)";Nintendo Game Boy Color;;1999;Midway;Fishing/Sports;;;;;;;;;
Bionic Commando - Elite Forces (USA);Bionic Commando - Elite Forces (USA);Nintendo Game Boy Color;;2000;Nintendo;Action;1;;;;;;;;
"Black Bass - Lure Fishing (USA, Europe)";"Black Bass - Lure Fishing (USA, Europe)";Nintendo Game Boy Color;;1999;Majesco Games;Sports/Fishing;1;;;;;;;;
"Blade (USA, Europe)";"Blade (USA, Europe)";Nintendo Game Boy Color;;2000;Activision;Beat-'Em-Up;1;;;;;;;;
"Blaster Master - Enemy Below (USA, Europe)";"Blaster Master - Enemy Below (USA, Europe)";Nintendo Game Boy Color;;2000;SunSoft;Platform;1;;;;;;;;
Blue's Clues - Blue's Alphabet Book (USA);Blue's Clues - Blue's Alphabet Book (USA);Nintendo Game Boy Color;;2001;Mattel;Puzzle;1;;;;;;;;
Boarder Zone (USA);Boarder Zone (USA);Nintendo Game Boy Color;;1999;Infogrames;Sports/Snowboarding;2;;;;;;;;
Bob the Builder - Fix it Fun! (USA);Bob the Builder - Fix it Fun! (USA);Nintendo Game Boy Color;;2001;THQ;Action;;;;;;;;;
Bomberman Max - Blue Champion (USA);Bomberman Max - Blue Champion (USA);Nintendo Game Boy Color;;2000;Vatical Entertainment;Action;2;;;;;;;;
Bomberman Max - Red Challenger (USA);Bomberman Max - Red Challenger (USA);Nintendo Game Boy Color;;2000;Vatical Entertainment;Action;;;;;;;;;
Bomberman Quest (USA);Bomberman Quest (USA);Nintendo Game Boy Color;;1999;Electro Brain;Role-Playing;2;;;;;;;;
