#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
"Pagemaster, The (USA)";"Pagemaster, The (USA)";Super Nintendo Entertainment System;;1994;Fox Interactive;Platform;1;;;;;;;;
Paladin's Quest (USA);Paladin's Quest (USA);Super Nintendo Entertainment System;;1993;Enix;Role-Playing;1;;;;;;;;
Paperboy 2 (USA);Paperboy 2 (USA);Super Nintendo Entertainment System;;1991;Mindscape;Action;2;;;;;;;;
Parodius (Europe);Parodius (Europe);Super Nintendo Entertainment System;;1992;Konami;Shooter;2;;;;;;;;
"Peace Keepers, The (USA)";"Peace Keepers, The (USA)";Super Nintendo Entertainment System;;1994;Jaleco;Fighter;4;;;;;;;;
Phalanx - The Enforce Fighter A-144 (USA);Phalanx - The Enforce Fighter A-144 (USA);Super Nintendo Entertainment System;;1992;Kemco;Shooter;1;;;;;;;;
Phantom 2040 (USA);Phantom 2040 (USA);Super Nintendo Entertainment System;;1995;Viacom New Media;Platform;1;;;;;;;;
Pieces (USA);Pieces (USA);Super Nintendo Entertainment System;;1994;Atlus;Puzzle;5;;;;;;;;
Pilotwings (USA);Pilotwings (USA);Super Nintendo Entertainment System;;1991;Nintendo;Flying;1;;;;;;;;
Pinball Dreams (USA);Pinball Dreams (USA);Super Nintendo Entertainment System;;1993;GameTek;Pinball;8;;;;;;;;
Pinball Fantasies (USA);Pinball Fantasies (USA);Super Nintendo Entertainment System;;1995;GameTek;Pinball;;;;;;;;;
Pink Goes to Hollywood (USA);Pink Goes to Hollywood (USA);Super Nintendo Entertainment System;;1994;TecMagik;Platform;1;;;;;;;;
Pinocchio (USA);Pinocchio (USA);Super Nintendo Entertainment System;;1996;Disney;Platform;1;;;;;;;;
"Pirates of Dark Water, The (USA)";"Pirates of Dark Water, The (USA)";Super Nintendo Entertainment System;;1994;SunSoft;Fighter;2;;;;;;;;
Pit-Fighter (USA);Pit-Fighter (USA);Super Nintendo Entertainment System;;1992;THQ;Fighter;2;;;;;;;;
Pitfall - The Mayan Adventure (USA);Pitfall - The Mayan Adventure (USA);Super Nintendo Entertainment System;;1994;Activision;Platform;1;;;;;;;;
Plok! (USA);Plok! (USA);Super Nintendo Entertainment System;;1993;Tradewest;Action;;;;;;;;;
Pocky & Rocky (USA);Pocky & Rocky (USA);Super Nintendo Entertainment System;;1993;Natsume;Shooter;2;;;;;;;;
Pocky & Rocky 2 (USA);Pocky & Rocky 2 (USA);Super Nintendo Entertainment System;;1994;Natsume;Shooter;2;;;;;;;;
Pop'n TwinBee (Europe);Pop'n TwinBee (Europe);Super Nintendo Entertainment System;;1993;Palcom;Shooter;2;;;;;;;;
Pop'n TwinBee - Rainbow Bell Adventures (Europe);Pop'n TwinBee - Rainbow Bell Adventures (Europe);Super Nintendo Entertainment System;;1994;Konami;Platform;2;;;;;;;;
Populous (USA);Populous (USA);Super Nintendo Entertainment System;;1991;Acclaim;Strategy;1;;;;;;;;
Populous II - Trials of the Olympian Gods (Europe);Populous II - Trials of the Olympian Gods (Europe);Super Nintendo Entertainment System;;1993;Imagineer;Strategy;;;;;;;;;
Porky Pig's Haunted Holiday (USA);Porky Pig's Haunted Holiday (USA);Super Nintendo Entertainment System;;1995;Acclaim;Platform;1;;;;;;;;
Power Drive (Europe);Power Drive (Europe);Super Nintendo Entertainment System;;1995;U.S. Gold;Driving;;;;;;;;;
Power Instinct (USA);Power Instinct (USA);Super Nintendo Entertainment System;;1994;Atlus;Fighter;2;;;;;;;;
Power Moves (USA);Power Moves (USA);Super Nintendo Entertainment System;;1993;Kaneko;Fighter;;;;;;;;;
Power Piggs of the Dark Age (USA);Power Piggs of the Dark Age (USA);Super Nintendo Entertainment System;;1994;Titus;Platform;;;;;;;;;
Power Rangers Zeo - Battle Racers (USA);Power Rangers Zeo - Battle Racers (USA);Super Nintendo Entertainment System;;1996;Bandai;Driving;;;;;;;;;
PowerMonger (Europe);PowerMonger (Europe);Super Nintendo Entertainment System;;1993;Imagineer;Strategy;;;;;;;;;
Prehistorik Man (USA);Prehistorik Man (USA);Super Nintendo Entertainment System;;1995;Titus;Platform;1;;;;;;;;
Primal Rage (USA);Primal Rage (USA);Super Nintendo Entertainment System;;1995;Bitmasters;Fighter;2;;;;;;;;
Prince of Persia (USA);Prince of Persia (USA);Super Nintendo Entertainment System;;1992;Konami;Platform;1;;;;;;;;
Prince of Persia 2 - The Shadow & The Flame (USA);Prince of Persia 2 - The Shadow & The Flame (USA);Super Nintendo Entertainment System;;1996;Titus;Platform;1;;;;;;;;
Pro Quarterback (USA);Pro Quarterback (USA);Super Nintendo Entertainment System;;1992;Tradewest;Sports/Football;;;;;;;;;
Pro Sport Hockey (USA);Pro Sport Hockey (USA);Super Nintendo Entertainment System;;1994;Jaleco;Sports/Hockey;;;;;;;;;
Push-Over (USA);Push-Over (USA);Super Nintendo Entertainment System;;1992;Ocean;Action;1;;;;;;;;
Putty Squad (Europe);Putty Squad (Europe);Super Nintendo Entertainment System;;1994;Ocean;Platform;;;;;;;;;
Q-bert 3 (USA);Q-bert 3 (USA);Super Nintendo Entertainment System;;1992;NTVIC;Action;2;;;;;;;;
R-Type III - The Third Lightning (USA);R-Type III - The Third Lightning (USA);Super Nintendo Entertainment System;;1994;Jaleco;Shooter;2;;;;;;;;
R.P.M. Racing (USA);R.P.M. Racing (USA);Super Nintendo Entertainment System;;1992;Interplay;Driving;;;;;;;;;
RHI Roller Hockey '95 (USA) (Proto);RHI Roller Hockey '95 (USA) (Proto);Super Nintendo Entertainment System;;1995;Radical Entertainment;Sports/Ice Hockey;;;;;;;;;
Race Drivin' (USA);Race Drivin' (USA);Super Nintendo Entertainment System;;1992;THQ;Driving;;;;;;;;;
Radical Rex (USA);Radical Rex (USA);Super Nintendo Entertainment System;;1994;Activision;Action;2;;;;;;;;
Raiden Trad (USA);Raiden Trad (USA);Super Nintendo Entertainment System;;1991;Electro Brain;Shooter;2;;;;;;;;
Rampart (USA);Rampart (USA);Super Nintendo Entertainment System;;1992;Electronic Arts;Action;2;;;;;;;;
Ranma 1-2 - Hard Battle (USA);Ranma 1-2 - Hard Battle (USA);Super Nintendo Entertainment System;;1992;NCS;Fighter;;;;;;;;;
Rap Jam - Volume One (USA);Rap Jam - Volume One (USA);Super Nintendo Entertainment System;;1995;Mandingo;Sports/Basketball;4;;;;;;;;
Realm (USA);Realm (USA);Super Nintendo Entertainment System;;1996;Titus;Platform;;;;;;;;;
Redline F-1 Racer (USA);Redline F-1 Racer (USA);Super Nintendo Entertainment System;;1993;Absolute Entertainment;Driving;2;;;;;;;;
