#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Harry Potter and the Sorcerer's Stone (USA);Harry Potter and the Sorcerer's Stone (USA);Sony PlayStation 2;;2003;Warthog;Action;1;;;;;;;;
Harvest Moon - A Wonderful Life Special Edition (USA);Harvest Moon - A Wonderful Life Special Edition (USA);Sony PlayStation 2;;2005;Marvelous;Strategy;1;;;;;;;;
Harvest Moon - Save the Homeland (USA);Harvest Moon - Save the Homeland (USA);Sony PlayStation 2;;2001;Victor Interactive Software;Strategy;1;;;;;;;;
Harvey Birdman - Attorney at Law (USA);Harvey Birdman - Attorney at Law (USA);Sony PlayStation 2;;2008;High Voltage Software;Adventure;1;;;;;;;;
Hasbro Family Game Night (USA);Hasbro Family Game Night (USA);Sony PlayStation 2;;2008;EA Bright Light;Board Games;;;;;;;;;
Haunting Ground (USA);Haunting Ground (USA);Sony PlayStation 2;;2005;Capcom;Adventure;1;;;;;;;;
Haven - Call of the King (USA);Haven - Call of the King (USA);Sony PlayStation 2;;2002;Traveller's Tales;Platform;1;;;;;;;;
Hawk Kawasaki Racing (Europe);Hawk Kawasaki Racing (Europe);Sony PlayStation 2;;2006;Infusion Games;Motorcycle;;;;;;;;;
Headhunter (USA);Headhunter (USA);Sony PlayStation 2;;2002;Amuze;Action;1;;;;;;;;
Headhunter - Redemption (USA);Headhunter - Redemption (USA);Sony PlayStation 2;;2004;Amuze;Action;1;;;;;;;;
Heartbeat Boxing (Europe);Heartbeat Boxing (Europe);Sony PlayStation 2;;2004;Tamsoft;Sports/Boxing;;;;;;;;;
Heatseeker (USA);Heatseeker (USA);Sony PlayStation 2;;2007;IR Gurus;Simulation;1;;;;;;;;
Heavenly Guardian (USA);Heavenly Guardian (USA);Sony PlayStation 2;;2008;Starfish;Shoot-'Em-Up;;;;;;;;;
Hello Kitty - Roller Rescue (Europe);Hello Kitty - Roller Rescue (Europe);Sony PlayStation 2;;2005;Xplosiv;Action;1;;;;;;;;
Heracles - Battle With The Gods (Europe);Heracles - Battle With The Gods (Europe);Sony PlayStation 2;;2006;Midas Interactive Entertainment;Platform;;;;;;;;;
Heracles Chariot Racing (Europe);Heracles Chariot Racing (Europe);Sony PlayStation 2;;2007;Neko Entertainment;Driving;;;;;;;;;
Herdy Gerdy (USA);Herdy Gerdy (USA);Sony PlayStation 2;;2002;Core Design Ltd.;Adventure;1;;;;;;;;
Heroes of Might and Magic - Quest for the Dragon Bone Staff (USA);Heroes of Might and Magic - Quest for the Dragon Bone Staff (USA);Sony PlayStation 2;;2001;New World Computing;Role-Playing;1;;;;;;;;
Heroes of the Pacific (USA);Heroes of the Pacific (USA);Sony PlayStation 2;;2005;IR Gurus;Simulation;2;;;;;;;;
Hidden Invasion (USA);Hidden Invasion (USA);Sony PlayStation 2;;2002;Toka;Shooter;2;;;;;;;;
