#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
"Ball Jacks (Japan, Europe)";"Ball Jacks (Japan, Europe)";Sega Genesis;;1993;Namco;Platform;2;;;;;;;;
"Ballz 3D - Fighting at Its Ballziest (USA, Europe)";"Ballz 3D - Fighting at Its Ballziest (USA, Europe)";Sega Genesis;;1994;PF.Magic;Fighter;2;;;;;;;;
Barbie Super Model (USA);Barbie Super Model (USA);Sega Genesis;;1992;Tahoe Software;Platform;2;;;;;;;;
"Barkley Shut Up and Jam! (USA, Europe)";"Barkley Shut Up and Jam! (USA, Europe)";Sega Genesis;;1993;Accolade;Sports/Basketball;4;;;;;;;;
Barkley Shut Up and Jam! 2 (USA);Barkley Shut Up and Jam! 2 (USA);Sega Genesis;;1995;Accolade;Sports/Basketball;4;;;;;;;;
Barney's Hide & Seek Game (USA);Barney's Hide & Seek Game (USA);Sega Genesis;;1993;Realtime Associates;Platform;;;;;;;;;
Bass Masters Classic (USA);Bass Masters Classic (USA);Sega Genesis;;1996;Black Pearl;Sports/Fishing;;;;;;;;;
Bass Masters Classic - Pro Edition (USA);Bass Masters Classic - Pro Edition (USA);Sega Genesis;;1995;Black Pearl;Sports/Fishing;;;;;;;;;
Batman (USA);Batman (USA);Sega Genesis;;1992;SunSoft;Platform;1;;;;;;;;
Batman - Revenge of the Joker (USA);Batman - Revenge of the Joker (USA);Sega Genesis;;1990;SunSoft;Platform;1;;;;;;;;
Batman Forever (World);Batman Forever (World);Sega Genesis;;1995;Probe Entertainment;Platform;2;;;;;;;;
Batman Returns (World);Batman Returns (World);Sega Genesis;;1992;Sega;Platform;1;;;;;;;;
"Battle Squadron (USA, Europe)";"Battle Squadron (USA, Europe)";Sega Genesis;;1990;Innerprise Software;Platform;2;;;;;;;;
BattleTech - A Game of Armored Combat (USA);BattleTech - A Game of Armored Combat (USA);Sega Genesis;;1994;Malibu;Platform;2;;;;;;;;
Battlemaster (USA);Battlemaster (USA);Sega Genesis;;1991;Mirrorsoft;Platform;1;;;;;;;;
Battletoads & Double Dragon (USA);Battletoads & Double Dragon (USA);Sega Genesis;;1993;Rare;Beat-'Em-Up;2;;;;;;;;
Battletoads (World);Battletoads (World);Sega Genesis;;1991;Rare;Beat-'Em-Up;2;;;;;;;;
Beast Wrestler (USA);Beast Wrestler (USA);Sega Genesis;;1991;Renovation;Platform;2;;;;;;;;
Beauty and the Beast - Belle's Quest (USA);Beauty and the Beast - Belle's Quest (USA);Sega Genesis;;1993;Software Creations;Platform;1;;;;;;;;
Beauty and the Beast - Roar of the Beast (USA);Beauty and the Beast - Roar of the Beast (USA);Sega Genesis;;1993;Software Creations;Platform;1;;;;;;;;
Beavis and Butt-Head (USA);Beavis and Butt-Head (USA);Sega Genesis;;1994;Radical Entertainment;Adventure;;;;;;;;;
"Berenstain Bears' Camping Adventure, The (USA)";"Berenstain Bears' Camping Adventure, The (USA)";Sega Genesis;;1993;Realtime Associates;Platform;2;;;;;;;;
