#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Arch Rivals - A Basketbrawl! (USA);Arch Rivals - A Basketbrawl! (USA);Nintendo Entertainment System;;1990;Acclaim;Sports/Basketball;2;;;;;;;;
Archon (USA);Archon (USA);Nintendo Entertainment System;;1989;Activision;Board Games;2;;;;;;;;
Arkanoid (USA);Arkanoid (USA);Nintendo Entertainment System;;1987;Taito Corporation;Breakout;2;;;;;;;;
Arkista's Ring (USA);Arkista's Ring (USA);Nintendo Entertainment System;;1990;American Sammy;Role-Playing;1;;;;;;;;
Assimilate (USA) (Unl);Assimilate (USA) (Unl);Nintendo Entertainment System;;2012;Nessylum Games;Action;;;;;;;;;
Asterix (Europe);Asterix (Europe);Nintendo Entertainment System;;1993;Infogrames;Platform;;;;;;;;;
Astyanax (USA);Astyanax (USA);Nintendo Entertainment System;;1990;Jaleco Entertainment;Action;1;;;;;;;;
Athena (USA);Athena (USA);Nintendo Entertainment System;;1987;SNK;Platform;1;;;;;;;;
Athletic World (USA);Athletic World (USA);Nintendo Entertainment System;;1987;Bandai;Sports/Olympic;2;;;;;;;;
Attack of the Killer Tomatoes (USA);Attack of the Killer Tomatoes (USA);Nintendo Entertainment System;;1992;THQ;Action;1;;;;;;;;
Aussie Rules Footy (Australia);Aussie Rules Footy (Australia);Nintendo Entertainment System;;1991;Beam Software;Sports;;;;;;;;;
Baby Boomer (USA) (Unl);Baby Boomer (USA) (Unl);Nintendo Entertainment System;;1989;Color Dreams;Gun;;;;;;;;;
Back to the Future (USA);Back to the Future (USA);Nintendo Entertainment System;;1989;LJN Ltd.;Action;1;;;;;;;;
Back to the Future Part II & III (USA);Back to the Future Part II & III (USA);Nintendo Entertainment System;;1990;LJN Ltd.;Platform;1;;;;;;;;
Bad Dudes (USA);Bad Dudes (USA);Nintendo Entertainment System;;1990;Data East;Beat-'Em-Up;2;;;;;;;;
Bad News Baseball (USA);Bad News Baseball (USA);Nintendo Entertainment System;;1990;Tecmo;Sports/Baseball;2;;;;;;;;
Bad Street Brawler (USA);Bad Street Brawler (USA);Nintendo Entertainment System;;1989;Mattel;Beat-'Em-Up;1;;;;;;;;
Balloon Fight (USA);Balloon Fight (USA);Nintendo Entertainment System;;1986;Nintendo;Action;2;;;;;;;;
Banana Prince (Germany) (Translated En);Banana Prince (Germany) (Translated En);Nintendo Entertainment System;;1991;Kid;Platform;;;;;;;;;
Bandai Golf - Challenge Pebble Beach (USA);Bandai Golf - Challenge Pebble Beach (USA);Nintendo Entertainment System;;1989;Bandai;Sports/Golf;2;;;;;;;;
Bandit Kings of Ancient China (USA);Bandit Kings of Ancient China (USA);Nintendo Entertainment System;;1990;Koei;Strategy;4;;;;;;;;
Barbie (USA);Barbie (USA);Nintendo Entertainment System;;1991;Hi-Tech;Action;1;;;;;;;;
"Bard's Tale, The (USA)";"Bard's Tale, The (USA)";Nintendo Entertainment System;;1991;"FCI, Inc.";Role-Playing;1;;;;;;;;
Barker Bill's Trick Shooting (USA);Barker Bill's Trick Shooting (USA);Nintendo Entertainment System;;1990;Nintendo;Gun;1;;;;;;;;
"Baseball (USA, Europe)";"Baseball (USA, Europe)";Nintendo Entertainment System;;1985;Nintendo;Sports/Baseball;2;;;;;;;;
Baseball Simulator 1.000 (USA);Baseball Simulator 1.000 (USA);Nintendo Entertainment System;;1990;Culture Brain;Sports/Baseball;2;;;;;;;;
Baseball Stars (USA);Baseball Stars (USA);Nintendo Entertainment System;;1989;SNK;Sports/Baseball;2;;;;;;;;
Baseball Stars II (USA);Baseball Stars II (USA);Nintendo Entertainment System;;1992;Romstar;Sports/Baseball;2;;;;;;;;
Bases Loaded (USA);Bases Loaded (USA);Nintendo Entertainment System;;1988;Jaleco Entertainment;Sports/Baseball;2;;;;;;;;
Bases Loaded 3 (USA);Bases Loaded 3 (USA);Nintendo Entertainment System;;1991;Jaleco Entertainment;Sports/Baseball;2;;;;;;;;
Bases Loaded 4 (USA);Bases Loaded 4 (USA);Nintendo Entertainment System;;1993;Jaleco Entertainment;Sports/Baseball;2;;;;;;;;
Bases Loaded II - Second Season (USA);Bases Loaded II - Second Season (USA);Nintendo Entertainment System;;1990;Jaleco Entertainment;Sports/Baseball;2;;;;;;;;
Bashi Bazook - Morphoid Masher (USA) (Proto);Bashi Bazook - Morphoid Masher (USA) (Proto);Nintendo Entertainment System;;1987;Jaleco Entertainment;Adventure;;;;;;;;;
Batman - Return of the Joker (USA);Batman - Return of the Joker (USA);Nintendo Entertainment System;;1991;SunSoft;Platform;1;;;;;;;;
Batman - The Video Game (USA);Batman - The Video Game (USA);Nintendo Entertainment System;;1990;Nintendo;Platform;1;;;;;;;;
Batman Returns (USA);Batman Returns (USA);Nintendo Entertainment System;;1993;Konami;Beat-'Em-Up;1;;;;;;;;
Battle Chess (USA);Battle Chess (USA);Nintendo Entertainment System;;1990;Data East;Board Games;2;;;;;;;;
Battle Kid - Fortress of Peril (USA) (Unl);Battle Kid - Fortress of Peril (USA) (Unl);Nintendo Entertainment System;;2010;Sivak Games;Platform;;;;;;;;;
